Name,URL,Cuisine,Ingredients
Best Vinegar Coleslaw,https://www.allrecipes.com/recipe/59318/amish-slaw/,Amish and Mennonite,"['1 large head cabbage, cored and finely shredded', '1 medium onion, thinly sliced', '1 cup white sugar', '3/4 cup vinegar', '1/3 cup vegetable oil', '2 teaspoons celery seed', '1 1/4 teaspoon salt', '1 teaspoon prepared mustard', '1/4 teaspoon black pepper']"
Pennsylvania Dutch Pickled Beets and Eggs,https://www.allrecipes.com/recipe/13743/pennsylvania-dutch-pickled-beets-and-eggs/,Amish and Mennonite,"['8 large eggs', '2 (15 ounce) cans whole pickled beets, juice reserved', '1 small onion, chopped', '1 cup white sugar', '¾ cup cider vinegar', '12  whole cloves', '2  bay leaves', '½ teaspoon salt', '1 pinch ground black pepper']"
Amish Macaroni Salad,https://www.allrecipes.com/recipe/74915/amish-macaroni-salad/,Amish and Mennonite,"['2 cups uncooked elbow macaroni', '3 large hard-cooked eggs, chopped', '1 small onion, chopped', '3 stalks celery, chopped', '1 small red bell pepper, seeded and chopped', '2 tablespoons dill pickle relish', '2 cups creamy salad dressing (e.g. Miracle Whip)', '¾ cup white sugar', '3 tablespoons prepared yellow mustard', '2 ¼ teaspoons white vinegar', '¾ teaspoon celery seed', '¼ teaspoon salt']"
Amish Friendship Bread Starter,https://www.allrecipes.com/recipe/7063/amish-friendship-bread-starter/,Amish and Mennonite,"['1 (.25 ounce) package active dry yeast', '¼ cup warm water (110 degrees F/45 degrees C)', '3 cups all-purpose flour, divided', '3 cups white sugar, divided', '3 cups milk, divided']"
My Amish Friend's Caramel Corn,https://www.allrecipes.com/recipe/74950/my-amish-friends-caramel-corn/,Amish and Mennonite,"['7 quarts plain popped popcorn', '2 cups dry roasted peanuts (Optional)', '2 cups brown sugar', '1 cup margarine', '½ cup light corn syrup', '1 teaspoon salt', '1 teaspoon vanilla extract', '½ teaspoon baking soda']"
Pennsylvania Dutch Corn Pie,https://www.allrecipes.com/recipe/85166/pennsylvania-dutch-corn-pie/,Amish and Mennonite,"['1 large potato, peeled and chopped', '1 (15 ounce) can whole kernel corn, drained', '1 (15 ounce) can cream-style corn', '3 large hard-cooked eggs, chopped', '½ cup milk', '  salt and pepper to taste', '1 tablespoon butter', '1 14.1-ounce double-crust pie pastry, thawed']"
Amish Peanut Butter,https://www.allrecipes.com/recipe/140605/amish-peanut-butter/,Amish and Mennonite,"['1 cup light corn syrup', '½ cup peanut butter, smooth', '¼ cup marshmallow creme']"
Amish Meatloaf,https://www.allrecipes.com/recipe/65250/amish-meatloaf/,Amish and Mennonite,"['2 pounds ground beef', '2 ½ cups crushed butter-flavored crackers', '1 small onion, chopped', '2  eggs', '¾ cup ketchup', '¼ cup brown sugar', '2 slices bacon', '1 cup ketchup', '2 tablespoons vinegar', '¾ teaspoon salt, or to taste', '2 tablespoons prepared yellow mustard', '½ cup brown sugar']"
Amish Potato Salad,https://www.allrecipes.com/recipe/73875/amish-potato-salad/,Amish and Mennonite,"['6 medium white potatoes with skin', '1 small onion, finely chopped', '1 cup chopped celery', '1 cup chopped carrots', '1 teaspoon celery seed', '4  hard-cooked eggs, peeled and chopped', '2  eggs, beaten', '¾ cup white sugar', '1 teaspoon cornstarch', '½ teaspoon salt', '⅓ cup apple cider vinegar', '½ cup milk', '1 teaspoon prepared yellow mustard', '3 tablespoons butter', '1 cup mayonnaise or salad dressing']"
Amish Friendship Bread I,https://www.allrecipes.com/recipe/6856/amish-friendship-bread-i/,Amish and Mennonite,"['1 cup Amish Friendship Bread Starter (see footnote for recipe link)', '⅔ cup vegetable oil', '3  eggs', '2 cups all-purpose flour', '1 cup white sugar', '1 teaspoon ground cinnamon', '½ teaspoon salt', '½ teaspoon baking soda', '1 ¼ teaspoons baking powder', '1 teaspoon vanilla extract']"
